"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
24,2009,0,1,0,0,0,19,0,240.044,-3.034,8.614,5,1,22.289,0.631,11.605,37,0,262.905,5.795,26.043,"M",0
24,2010,0,0,0,0,0,22,0,181.119,-3.888,10.42,7,0,102.61,-1.978,9.22,43,1,258.71,6.196,24.23,"0",0
24,2011,0,0,1,1,1,22,2,141.86,-2.405,10.675,8,0,139.157,4.237,10.242,45,0,164.137,7.508,24.069,"0",1
24,2012,0,0,1,0,0,11,4,33.938,-6.259,10.902,7,1,2.311,2.75,12.935,35,1,277.738,6.292,25.236,"0",0
24,2013,1,0,1,1,1,16,1,93.005,-2.924,10.167,11,1,87.961,-3.021,10.599,31,1,361.245,1.967,22.364,"F",1
24,2014,0,0,1,1,2,21,0,250.36,3.176,10.406,12,0,36.178,4.744,10.781,25,0,158.286,5.692,24.877,"0",1
24,2015,0,1,1,0,0,19,3,71.217,-0.91,11.708,9,1,37.682,3.779,13.169,44,0,221.368,4.812,25.676,"M",0
24,2016,0,0,1,1,2,31,0,126.337,0.443,11.838,6,1,68.744,2.126,10.65,29,2,269.646,4.753,23.518,"0",1
24,2017,0,0,1,1,1,19,2,188.453,-2.667,10.727,10,0,45.745,5.729,12.96,41,0,221.968,6.568,25.507,"0",1
24,2018,0,0,1,1,2,13,1,242.101,0.266,12.782,5,0,134.759,-4.839,11.895,48,1,381.691,3.706,23.809,"0",1
24,2019,0,0,1,1,2,19,2,69.581,0.938,11.319,14,0,19.535,5.787,12.364,36,2,186.647,5.3,30.156,"0",1
24,2020,0,0,1,1,1,22,0,151.411,3.059,13.448,8,0,50.441,5.063,12.838,44,0,252.908,4.862,23.374,"0",1
